team_id,team_name,fifa_code,confederation,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,avg_goals_for,avg_goals_against,win_rate,points
99,Jordan,JOR,AFC,111,49,24,38,164,129,35,1.4774774774774775,1.162162162162162,0.44144144144144143,171
206,Uruguay,URU,CONMEBOL,93,41,30,22,128,80,48,1.3763440860215055,0.8602150537634409,0.44086021505376344,153
205,United Arab Emirates,UAE,AFC,99,43,24,32,150,107,43,1.5151515151515151,1.0808080808080809,0.43434343434343436,153
145,Oman,OMA,AFC,102,44,28,30,116,97,19,1.1372549019607843,0.9509803921568627,0.43137254901960786,160
186,Switzerland,SUI,UEFA,100,43,33,24,183,116,67,1.83,1.16,0.43,162
158,Romania,ROU,UEFA,84,36,22,26,129,93,36,1.5357142857142858,1.1071428571428572,0.42857142857142855,130
36,Cameroon,CMR,CAF,82,35,29,18,104,65,39,1.2682926829268293,0.7926829268292683,0.4268292682926829,134
74,Gabon,GAB,CAF,62,26,14,22,84,80,4,1.3548387096774193,1.2903225806451613,0.41935483870967744,92
184,Suriname,SUR,CONCACAF,48,20,12,16,85,53,32,1.7708333333333333,1.1041666666666667,0.4166666666666667,72
75,Georgia,GEO,UEFA,82,34,19,29,124,104,20,1.5121951219512195,1.2682926829268293,0.4146341463414634,121
104,Kosovo,KOS,UEFA,82,34,20,28,123,100,23,1.5,1.2195121951219512,0.4146341463414634,122
93,Indonesia,IDN,AFC,87,36,18,33,147,133,14,1.6896551724137931,1.528735632183908,0.41379310344827586,126
172,Slovakia,SVK,UEFA,87,36,21,30,120,100,20,1.3793103448275863,1.1494252873563218,0.41379310344827586,129
161,Samoa,SAM,OFC,17,7,0,10,28,50,-22,1.6470588235294117,2.9411764705882355,0.4117647058823529,21
82,Guatemala,GUA,CONCACAF,88,36,22,30,132,101,31,1.5,1.1477272727272727,0.4090909090909091,130
181,St Lucia,LCA,CONCACAF,32,13,5,14,35,52,-17,1.09375,1.625,0.40625,44
149,Papua New Guinea,PNG,OFC,32,13,8,11,52,53,-1,1.625,1.65625,0.40625,47
34,Cabo Verde,CPV,CAF,74,30,24,20,88,71,17,1.1891891891891893,0.9594594594594594,0.40540540540540543,114
142,North Macedonia,MKD,UEFA,84,34,22,28,118,110,8,1.4047619047619047,1.3095238095238095,0.40476190476190477,124
61,Ecuador,ECU,CONMEBOL,95,38,34,23,114,85,29,1.2,0.8947368421052632,0.4,148
97,Jamaica,JAM,CONCACAF,100,40,26,34,139,117,22,1.39,1.17,0.4,146
138,New Zealand,NZL,OFC,50,20,7,23,90,60,30,1.8,1.2,0.4,67
171,Singapore,SGP,AFC,73,29,15,29,104,121,-17,1.4246575342465753,1.6575342465753424,0.3972602739726027,102
60,Dominican Republic,DOM,CONCACAF,53,21,11,21,94,68,26,1.7735849056603774,1.2830188679245282,0.39622641509433965,74
211,Wales,WAL,UEFA,86,34,26,26,107,96,11,1.244186046511628,1.1162790697674418,0.3953488372093023,128
182,St Vincent and the Grenadines,VIN,CONCACAF,51,20,9,22,79,92,-13,1.5490196078431373,1.803921568627451,0.39215686274509803,69
72,Finland,FIN,UEFA,87,34,11,42,100,114,-14,1.1494252873563218,1.3103448275862069,0.39080459770114945,113
2,Albania,ALB,UEFA,82,32,17,33,90,87,3,1.0975609756097562,1.0609756097560976,0.3902439024390244,113
215,Zambia,ZAM,CAF,82,32,17,33,107,117,-10,1.3048780487804879,1.4268292682926829,0.3902439024390244,113
180,St Kitts and Nevis,SKN,CONCACAF,41,16,5,20,55,79,-24,1.3414634146341464,1.9268292682926829,0.3902439024390244,53
164,Saudi Arabia,KSA,AFC,118,46,31,41,135,118,17,1.1440677966101696,1.0,0.3898305084745763,169
173,Slovenia,SVN,UEFA,85,33,31,21,112,84,28,1.3176470588235294,0.9882352941176471,0.38823529411764707,130
148,Panama,PAN,CONCACAF,111,43,24,44,154,164,-10,1.3873873873873874,1.4774774774774775,0.38738738738738737,153
6,Angola,ANG,CAF,75,29,27,19,87,63,24,1.16,0.84,0.38666666666666666,114
95,Israel,ISR,UEFA,75,29,15,31,123,129,-6,1.64,1.72,0.38666666666666666,102
47,Congo DR,COD,CAF,85,32,29,24,95,72,23,1.1176470588235294,0.8470588235294118,0.3764705882352941,125
77,Ghana,GHA,CAF,80,30,23,27,98,87,11,1.225,1.0875,0.375,113
192,The Gambia,GAM,CAF,62,23,16,23,83,77,6,1.3387096774193548,1.2419354838709677,0.3709677419354839,85
189,Tajikistan,TJK,AFC,65,24,17,24,84,75,9,1.2923076923076924,1.1538461538461537,0.36923076923076925,89
83,Guinea,GUI,CAF,77,28,21,28,90,84,6,1.1688311688311688,1.0909090909090908,0.36363636363636365,105
45,Comoros,COM,CAF,78,28,16,34,94,106,-12,1.205128205128205,1.358974358974359,0.358974358974359,100
203,Uganda,UGA,CAF,73,26,19,28,67,76,-9,0.9178082191780822,1.0410958904109588,0.3561643835616438,97
52,Cuba,CUB,CONCACAF,59,21,9,29,74,102,-28,1.2542372881355932,1.728813559322034,0.3559322033898305,72
129,Montserrat,MSR,CONCACAF,34,12,5,17,40,62,-22,1.1764705882352942,1.8235294117647058,0.35294117647058826,41
139,Nicaragua,NCA,CONCACAF,69,24,15,30,98,92,6,1.4202898550724639,1.3333333333333333,0.34782608695652173,87
71,Fiji,FIJ,OFC,46,16,12,18,69,71,-2,1.5,1.5434782608695652,0.34782608695652173,60
